,game_date,game_id,league_name,level,Team,team_id,road_team,home_team,game_type,venue,Player,player_id,batting_order,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Will Smith,669257,400.0,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
1,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Michael Conforto,624424,700.0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Enrique Hernández,571771,600.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Max Muncy,571970,500.0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Tommy Edman,669242,200.0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Shohei Ohtani,660271,100.0,5,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
6,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Teoscar Hernández,606192,300.0,4,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
7,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Andy Pages,681624,900.0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
8,2025-03-18,778563,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Miguel Rojas,500743,800.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Kyle Tucker,663656,300.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Ian Happ,664023,100.0,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
11,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Michael Busch,683737,400.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Pete Crow-Armstrong,691718,700.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Miguel Amaya,665804,800.0,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
14,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Seiya Suzuki,673548,200.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Jon Berti,542932,900.0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
16,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Dansby Swanson,621020,600.0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Justin Turner,457759,401.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2025-03-18,778563,MLB,MLB,CHC,112,LAD,CHC,R,Tokyo Dome,Matt Shaw,807713,500.0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Will Smith,669257,400.0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0
20,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Michael Conforto,624424,700.0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
21,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Enrique Hernández,571771,600.0,3,1,1,0,0,1,3,0,0,0,1,0,0,0,1,0
22,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Max Muncy,571970,500.0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
23,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Tommy Edman,669242,200.0,5,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1
24,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Shohei Ohtani,660271,100.0,3,1,1,0,0,1,1,0,0,2,0,1,0,0,0,0
25,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Teoscar Hernández,606192,300.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,2025-03-19,778564,MLB,MLB,LAD,119,LAD,CHC,R,Tokyo Dome,Andy Pages,681624,900.0,3,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0
