,game_date,game_id,league_name,level,Team,team_id,road_team,road_team_id,home_team,home_team_id,game_type,venue_id,league_id,Player,player_id,W,L,G,GS,CG,SHO,SV,HLD,BFP,IP,H,ER,R,HR,SO,BB,IBB,HBP,WP,BK,QS,Opp,Park,Date
0,2025-03-18,778563,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Ben Casparius,676508,0,0,1,0,0,0,0,1,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
1,2025-03-18,778563,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Anthony Banda,607455,0,0,1,0,0,0,0,1,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
2,2025-03-18,778563,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Tanner Scott,656945,0,0,1,0,0,0,1,0,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
3,2025-03-18,778563,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Blake Treinen,595014,0,0,1,0,0,0,0,1,4,1.0,0,0,0,0,2,0,0,1,0,0,0,,,
4,2025-03-18,778563,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Yoshinobu Yamamoto,808967,1,0,1,1,0,0,0,0,19,5.0,3,1,1,0,4,1,0,0,0,0,0,,,
5,2025-03-18,778563,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Eli Morgan,669212,0,0,1,0,0,0,0,0,5,1.1,1,0,0,0,1,0,0,0,0,0,0,,,
6,2025-03-18,778563,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Shota Imanaga,684007,0,0,1,1,0,0,0,0,16,4.0,0,0,0,0,2,4,0,0,0,0,0,,,
7,2025-03-18,778563,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Ryan Brasier,518489,0,0,1,0,0,0,0,0,6,1.0,2,1,1,0,1,1,0,0,0,0,0,,,
8,2025-03-18,778563,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Ben Brown,676962,0,1,1,0,0,0,0,0,15,2.2,4,2,3,0,5,3,0,0,0,0,0,,,
0,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Alex Vesia,681911,0,0,1,0,0,0,1,0,5,1.0,1,0,0,0,1,1,0,0,0,0,0,,,
1,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Landon Knack,689017,1,0,1,0,0,0,0,0,7,2.0,1,0,0,0,3,0,0,0,0,0,0,,,
2,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Kirby Yates,489446,0,0,1,0,0,0,0,1,4,1.0,1,0,0,0,2,0,0,0,0,0,0,,,
3,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Jack Dreyer,676263,0,0,1,0,0,0,0,0,5,1.0,2,1,1,0,1,0,0,0,0,0,0,,,
4,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Luis García,472610,0,0,1,0,0,0,0,0,6,1.0,2,1,1,0,2,1,0,0,0,0,0,,,
5,2025-03-19,778564,MLB,MLB,LAD,119,LAD,119,CHC,112,R,Tokyo Dome,MLB,Roki Sasaki,808963,0,0,1,1,0,0,0,0,14,3.0,1,1,1,0,3,5,0,0,0,0,0,,,
6,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Porter Hodge,687863,0,0,1,0,0,0,0,0,4,1.0,0,0,0,0,1,1,0,0,0,0,0,,,
7,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Caleb Thielbar,573204,0,0,1,0,0,0,0,0,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
8,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Ryan Pressly,519151,0,0,1,0,0,0,0,0,5,1.0,0,0,0,0,0,3,0,0,0,0,0,,,
9,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Nate Pearson,663878,0,0,1,0,0,0,0,0,4,1.0,1,1,1,1,2,0,0,0,0,0,0,,,
10,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Julian Merryweather,657240,0,0,1,0,0,0,0,0,5,1.0,1,0,0,0,0,2,1,0,0,0,0,,,
11,2025-03-19,778564,MLB,MLB,CHC,112,LAD,119,CHC,112,R,Tokyo Dome,MLB,Justin Steele,657006,0,1,1,1,0,0,0,0,17,4.0,5,5,5,2,5,1,0,0,0,0,0,,,
0,2025-03-27,778551,MLB,MLB,MIN,142,MIN,142,STL,138,R,Busch Stadium,MLB,Justin Topa,623437,0,0,1,0,0,0,0,0,2,0.1,0,0,0,0,0,1,0,0,0,0,0,,,
1,2025-03-27,778551,MLB,MLB,MIN,142,MIN,142,STL,138,R,Busch Stadium,MLB,Louis Varland,686973,0,0,1,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0,0,,,
2,2025-03-27,778551,MLB,MLB,MIN,142,MIN,142,STL,138,R,Busch Stadium,MLB,Cole Sands,663485,0,0,1,0,0,0,0,0,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
3,2025-03-27,778551,MLB,MLB,MIN,142,MIN,142,STL,138,R,Busch Stadium,MLB,Griffin Jax,643377,0,0,1,0,0,0,0,0,4,0.2,1,1,1,1,1,1,0,0,0,0,0,,,
4,2025-03-27,778551,MLB,MLB,MIN,142,MIN,142,STL,138,R,Busch Stadium,MLB,Pablo López,641154,0,1,1,1,0,0,0,0,22,5.0,8,2,4,1,3,0,0,0,0,1,0,,,
5,2025-03-27,778551,MLB,MLB,STL,138,MIN,142,STL,138,R,Busch Stadium,MLB,Chris Roycroft,688297,0,0,1,0,0,0,0,1,3,1.0,0,0,0,0,1,0,0,0,0,0,0,,,
6,2025-03-27,778551,MLB,MLB,STL,138,MIN,142,STL,138,R,Busch Stadium,MLB,Kyle Leahy,681517,0,0,1,0,0,0,0,1,4,0.2,1,1,1,0,0,1,0,0,0,0,0,,,
7,2025-03-27,778551,MLB,MLB,STL,138,MIN,142,STL,138,R,Busch Stadium,MLB,Sonny Gray,543243,1,0,1,1,0,0,0,0,20,5.0,4,2,2,1,6,2,0,0,0,0,0,,,
8,2025-03-27,778551,MLB,MLB,STL,138,MIN,142,STL,138,R,Busch Stadium,MLB,John King,667463,0,0,1,0,0,0,0,1,2,0.1,1,0,0,0,0,0,0,0,0,0,0,,,
