,team_name,team_id,team_abbrev,parent_name,parent_id,parent_abbrev
0,Baltimore Orioles,110,BAL,Baltimore Orioles,110,BAL
1,Cincinnati Reds,113,CIN,Cincinnati Reds,113,CIN
2,New York Mets,121,NYM,New York Mets,121,NYM
3,Miami Marlins,146,MIA,Miami Marlins,146,MIA
4,St. Louis Cardinals,138,STL,St. Louis Cardinals,138,STL
5,Washington Nationals,120,WSH,Washington Nationals,120,WSH
6,Philadelphia Phillies,143,PHI,Philadelphia Phillies,143,PHI
7,Pittsburgh Pirates,134,PIT,Pittsburgh Pirates,134,PIT
8,Kansas City Royals,118,KC,Kansas City Royals,118,KC
9,New York Yankees,147,NYY,New York Yankees,147,NYY
10,Detroit Tigers,116,DET,Detroit Tigers,116,DET
11,Toronto Blue Jays,141,TOR,Toronto Blue Jays,141,TOR
12,Cleveland Guardians,114,CLE,Cleveland Guardians,114,CLE
13,Tampa Bay Rays,139,TB,Tampa Bay Rays,139,TB
14,Milwaukee Brewers,158,MIL,Milwaukee Brewers,158,MIL
15,Boston Red Sox,111,BOS,Boston Red Sox,111,BOS
16,Arizona Diamondbacks,109,ARI,Arizona Diamondbacks,109,ARI
17,Atlanta Braves,144,ATL,Atlanta Braves,144,ATL
18,Seattle Mariners,136,SEA,Seattle Mariners,136,SEA
19,Houston Astros,117,HOU,Houston Astros,117,HOU
20,Oakland Athletics,133,OAK,Oakland Athletics,133,OAK
21,Chicago White Sox,145,CWS,Chicago White Sox,145,CWS
22,Los Angeles Dodgers,119,LAD,Los Angeles Dodgers,119,LAD
23,Colorado Rockies,115,COL,Colorado Rockies,115,COL
24,Texas Rangers,140,TEX,Texas Rangers,140,TEX
25,Los Angeles Angels,108,LAA,Los Angeles Angels,108,LAA
26,Minnesota Twins,142,MIN,Minnesota Twins,142,MIN
27,San Diego Padres,135,SD,San Diego Padres,135,SD
28,Chicago Cubs,112,CHC,Chicago Cubs,112,CHC
29,San Francisco Giants,137,SF,San Francisco Giants,137,SF
